,,,,
Apples,Raspberries,Milk,Juice,Yogurt
Bananas,Salmon,Milk,Soda,
Blackberries,Soda,Juice,Yogurt,
Blueberries,Spinach,Juice,,
Butter,Steak,Juice,Soda,
Carrots,Strawberries,Soda,Milk,Yogurt
Celery,Tuna,Yogurt,Soda,
Cereal,Turkey,Juice,Soda,
Cheese,Watermelon,Juice,Soda,
Chicken,Yogurt,Soda,Milk,Cheese
Clementines,Coffee,Soda,Milk,
Coffee,Grapefruit,Juice,Yogurt,Cheese
Grapefruit,Cheese,Juice,Milk,
Ham,Milk,Yogurt,Soda,Juice
Juice,Milk,Yogurt,Soda,
Milk,Juice,Cheese,,
Oatmeal,Milk,Yogurt,Soda,
Oranges,Milk,Yogurt,Soda,
Peaches,Plums,Grapefruit,,
Plums,Peaches,Clementines,,
